frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,raw_track_id,memory_state,velocity_x,velocity_y
1,1,box,0.7938,467.49,137.41,982.71,545.73,725.1,341.57,515.22,408.32,1,VISIBLE,0.0,0.0
1,2,ball,0.6955,0.0,216.08,129.35,553.35,64.67,384.71,129.35,337.27,2,VISIBLE,0.0,0.0
2,1,box,0.7941,467.0,137.34,982.48,545.86,724.74,341.6,515.48,408.51,1,VISIBLE,-0.36,0.03
2,2,ball,0.7134,3.86,213.45,136.81,559.64,70.33,386.55,132.95,346.19,2,VISIBLE,5.66,1.83
3,1,box,0.7931,466.13,137.27,981.78,545.91,723.96,341.59,515.66,408.64,1,VISIBLE,-0.66,0.0
3,2,ball,0.6935,9.26,213.14,143.46,560.94,76.36,387.04,134.2,347.8,2,VISIBLE,5.92,0.9
4,1,box,0.8056,465.26,137.14,981.11,545.9,723.18,341.52,515.85,408.76,1,VISIBLE,-0.74,-0.05
4,2,ball,0.7393,15.35,213.24,150.43,559.99,82.89,386.61,135.07,346.75,2,VISIBLE,6.35,-0.03
5,1,box,0.7899,464.51,137.13,980.38,545.85,722.44,341.49,515.87,408.72,1,VISIBLE,-0.74,-0.04
5,2,ball,0.7095,21.4,213.52,158.2,559.24,89.8,386.38,136.8,345.71,2,VISIBLE,6.74,-0.17
6,1,box,0.7471,463.79,137.2,979.61,545.82,721.7,341.51,515.82,408.62,1,VISIBLE,-0.74,0.0
6,2,ball,0.6964,26.71,213.93,165.47,556.94,96.09,385.44,138.76,343.01,2,VISIBLE,6.43,-0.71
7,1,box,0.7747,462.77,137.19,978.76,545.91,720.77,341.55,515.99,408.72,1,VISIBLE,-0.88,0.03
7,2,ball,0.6303,31.54,213.99,173.47,554.97,102.5,384.48,141.93,340.98,2,VISIBLE,6.42,-0.88
8,1,box,0.7826,461.41,137.08,977.63,546.0,719.52,341.54,516.22,408.92,1,VISIBLE,-1.13,0.0
8,2,ball,0.6642,36.23,214.52,182.52,553.85,109.38,384.19,146.29,339.33,2,VISIBLE,6.73,-0.47
9,1,box,0.7999,460.12,137.03,976.43,546.07,718.28,341.55,516.31,409.04,1,VISIBLE,-1.21,0.01
9,2,ball,0.4337,39.45,214.58,191.26,553.1,115.36,383.84,151.81,338.52,2,VISIBLE,6.21,-0.38
