frame,master_track_id,class_name,state,frames_visible,frames_occluded,confidence_decay,centroid_x,centroid_y,velocity_x,velocity_y
1,1,box,VISIBLE,1,0,0.7938,725.1,341.57,0.0,0.0
1,2,ball,VISIBLE,1,0,0.6955,64.67,384.72,0.0,0.0
2,1,box,VISIBLE,2,0,0.7941,724.74,341.6,-0.36,0.03
2,2,ball,VISIBLE,2,0,0.7134,70.33,386.54,5.66,1.83
3,1,box,VISIBLE,3,0,0.7931,723.95,341.59,-0.66,0.0
3,2,ball,VISIBLE,3,0,0.6935,76.36,387.04,5.92,0.9
4,1,box,VISIBLE,4,0,0.8056,723.18,341.52,-0.74,-0.05
4,2,ball,VISIBLE,4,0,0.7393,82.89,386.62,6.35,-0.03
5,1,box,VISIBLE,5,0,0.7899,722.44,341.49,-0.74,-0.04
5,2,ball,VISIBLE,5,0,0.7095,89.8,386.38,6.74,-0.17
6,1,box,VISIBLE,6,0,0.7471,721.7,341.51,-0.74,0.0
6,2,ball,VISIBLE,6,0,0.6964,96.09,385.44,6.43,-0.71
7,1,box,VISIBLE,7,0,0.7747,720.76,341.55,-0.88,0.03
7,2,ball,VISIBLE,7,0,0.6303,102.5,384.48,6.42,-0.88
8,1,box,VISIBLE,8,0,0.7826,719.52,341.54,-1.13,0.0
8,2,ball,VISIBLE,8,0,0.6642,109.38,384.19,6.73,-0.47
9,1,box,VISIBLE,9,0,0.7999,718.27,341.55,-1.21,0.01
9,2,ball,VISIBLE,9,0,0.4337,115.36,383.84,6.21,-0.38
10,1,box,VISIBLE,10,0,0.772,717.26,341.59,-1.07,0.03
10,2,ball,VISIBLE,10,0,0.4843,121.27,383.22,6.0,-0.55
11,1,box,VISIBLE,11,0,0.7439,716.12,341.6,-1.12,0.02
11,2,ball,OCCLUDED,10,1,0.989,127.27,382.67,6.0,-0.55
12,1,box,VISIBLE,12,0,0.7361,715.18,341.61,-1.0,0.01
12,2,ball,OCCLUDED,10,2,0.978,133.27,382.12,6.0,-0.55
13,1,box,VISIBLE,13,0,0.7796,713.88,341.66,-1.21,0.04
13,2,ball,OCCLUDED,10,3,0.967,139.28,381.57,6.0,-0.55
14,1,box,VISIBLE,14,0,0.7298,712.51,341.7,-1.32,0.04
14,2,ball,OCCLUDED,10,4,0.956,145.28,381.02,6.0,-0.55
15,1,box,VISIBLE,15,0,0.7294,711.07,341.72,-1.41,0.02
15,2,ball,OCCLUDED,10,5,0.944,151.28,380.48,6.0,-0.55
16,1,box,VISIBLE,16,0,0.7691,709.57,341.75,-1.47,0.03
16,2,ball,OCCLUDED,10,6,0.933,157.28,379.93,6.0,-0.55
17,1,box,VISIBLE,17,0,0.8052,708.23,341.75,-1.38,0.0
17,2,ball,OCCLUDED,10,7,0.922,163.29,379.38,6.0,-0.55
18,1,box,VISIBLE,18,0,0.8,707.56,341.79,-0.89,0.03
18,2,ball,OCCLUDED,10,8,0.911,169.29,378.83,6.0,-0.55
19,1,box,VISIBLE,19,0,0.7891,706.54,341.79,-0.98,0.01
19,2,ball,OCCLUDED,10,9,0.9,175.29,378.28,6.0,-0.55
20,1,box,VISIBLE,20,0,0.8028,704.15,341.83,-1.96,0.03
20,2,ball,OCCLUDED,10,10,0.889,181.29,377.73,6.0,-0.55
21,1,box,VISIBLE,21,0,0.7873,702.19,341.78,-1.96,-0.03
21,2,ball,OCCLUDED,10,11,0.878,187.3,377.18,6.0,-0.55
22,1,box,VISIBLE,22,0,0.8103,700.3,341.8,-1.92,0.0
22,2,ball,OCCLUDED,10,12,0.867,193.3,376.63,6.0,-0.55
23,1,box,VISIBLE,23,0,0.799,698.49,341.85,-1.84,0.04
23,2,ball,OCCLUDED,10,13,0.856,199.3,376.08,6.0,-0.55
24,1,box,VISIBLE,24,0,0.7933,696.85,341.78,-1.7,-0.03
24,2,ball,OCCLUDED,10,14,0.844,205.3,375.54,6.0,-0.55
25,1,box,VISIBLE,25,0,0.7833,694.98,341.78,-1.82,-0.01
25,2,ball,OCCLUDED,10,15,0.833,211.31,374.99,6.0,-0.55
26,1,box,VISIBLE,26,0,0.7706,692.65,341.94,-2.17,0.1
26,2,ball,OCCLUDED,10,16,0.822,217.31,374.44,6.0,-0.55
27,1,box,VISIBLE,27,0,0.7497,690.75,341.84,-1.98,-0.04
27,2,ball,OCCLUDED,10,17,0.811,223.31,373.89,6.0,-0.55
28,1,box,VISIBLE,28,0,0.715,688.38,342.19,-2.25,0.23
28,2,ball,OCCLUDED,10,18,0.8,229.31,373.34,6.0,-0.55
29,1,box,VISIBLE,29,0,0.7122,686.15,342.02,-2.24,-0.05
29,2,ball,OCCLUDED,10,19,0.789,235.32,372.79,6.0,-0.55
30,1,box,VISIBLE,30,0,0.7176,684.08,341.87,-2.12,-0.12
30,2,ball,OCCLUDED,10,20,0.778,241.32,372.24,6.0,-0.55
31,1,box,VISIBLE,31,0,0.6979,681.64,341.98,-2.35,0.04
31,2,ball,OCCLUDED,10,21,0.767,247.32,371.69,6.0,-0.55
32,1,box,VISIBLE,32,0,0.7125,679.57,342.05,-2.15,0.06
32,2,ball,OCCLUDED,10,22,0.756,253.32,371.15,6.0,-0.55
33,1,box,VISIBLE,33,0,0.6974,677.87,342.1,-1.84,0.05
33,2,ball,OCCLUDED,10,23,0.744,259.33,370.6,6.0,-0.55
34,1,box,VISIBLE,34,0,0.7394,675.62,342.47,-2.13,0.28
34,2,ball,OCCLUDED,10,24,0.733,265.33,370.05,6.0,-0.55
35,1,box,VISIBLE,35,0,0.7322,673.31,342.61,-2.26,0.18
35,2,ball,OCCLUDED,10,25,0.722,271.33,369.5,6.0,-0.55
36,1,box,VISIBLE,36,0,0.7923,670.7,342.7,-2.5,0.12
36,2,ball,OCCLUDED,10,26,0.711,277.33,368.95,6.0,-0.55
37,1,box,VISIBLE,37,0,0.7951,667.81,342.62,-2.78,-0.02
37,2,ball,OCCLUDED,10,27,0.7,283.33,368.4,6.0,-0.55
38,1,box,VISIBLE,38,0,0.8005,664.88,342.6,-2.88,-0.02
38,2,ball,VISIBLE,11,0,0.5897,385.81,371.0,8.41,-0.47
39,1,box,VISIBLE,39,0,0.7662,661.56,342.73,-3.19,0.09
39,2,ball,VISIBLE,12,0,0.6114,389.27,369.92,4.94,-0.89
40,1,box,VISIBLE,40,0,0.7905,658.13,342.8,-3.35,0.08
40,2,ball,VISIBLE,13,0,0.5795,391.21,368.5,2.84,-1.26
41,1,box,VISIBLE,41,0,0.7712,655.4,342.87,-2.92,0.07
41,2,ball,VISIBLE,14,0,0.585,391.86,366.84,1.31,-1.54
42,1,box,VISIBLE,42,0,0.7349,651.91,342.88,-3.32,0.03
42,2,ball,VISIBLE,15,0,0.6142,392.77,364.16,1.04,-2.34
43,1,box,VISIBLE,43,0,0.744,649.07,342.98,-2.98,0.07
43,2,ball,VISIBLE,16,0,0.6402,394.32,359.45,1.39,-4.0
44,1,box,VISIBLE,44,0,0.7736,646.34,343.02,-2.81,0.05
44,2,ball,VISIBLE,17,0,0.6472,396.46,355.68,1.92,-3.84
45,1,box,VISIBLE,45,0,0.8272,643.32,343.16,-2.95,0.11
45,2,ball,VISIBLE,18,0,0.6491,398.5,352.49,2.0,-3.38
46,1,box,VISIBLE,46,0,0.759,640.23,343.22,-3.05,0.08
46,2,ball,VISIBLE,19,0,0.6117,400.99,350.79,2.35,-2.2
47,1,box,VISIBLE,47,0,0.754,636.65,343.6,-3.42,0.29
47,2,ball,OCCLUDED,19,1,0.989,403.34,348.59,2.35,-2.2
48,1,box,VISIBLE,48,0,0.7923,632.64,343.51,-3.83,0.03
48,2,ball,OCCLUDED,19,2,0.978,405.68,346.39,2.35,-2.2
49,1,box,VISIBLE,49,0,0.83,628.85,343.5,-3.81,-0.01
49,2,ball,VISIBLE,20,0,0.451,410.45,350.07,2.91,-0.83
50,1,box,VISIBLE,50,0,0.8641,624.13,343.49,-4.44,-0.01
50,2,ball,VISIBLE,21,0,0.4967,413.76,351.54,3.19,0.78
51,1,box,VISIBLE,51,0,0.842,620.12,343.44,-4.14,-0.03
51,2,ball,OCCLUDED,21,1,0.989,416.96,352.32,3.19,0.78
52,1,box,VISIBLE,52,0,0.7518,617.55,343.44,-3.05,-0.01
52,2,ball,OCCLUDED,21,2,0.978,420.15,353.1,3.19,0.78
53,1,box,VISIBLE,53,0,0.8344,614.89,343.49,-2.77,0.03
53,2,ball,OCCLUDED,21,3,0.967,423.35,353.88,3.19,0.78
54,1,box,VISIBLE,54,0,0.8504,611.71,343.48,-3.05,0.0
54,2,ball,OCCLUDED,21,4,0.956,426.54,354.66,3.19,0.78
55,1,box,VISIBLE,55,0,0.8162,608.79,343.53,-2.97,0.04
55,2,ball,OCCLUDED,21,5,0.944,429.73,355.44,3.19,0.78
56,1,box,VISIBLE,56,0,0.7892,605.84,343.6,-2.96,0.06
56,2,ball,OCCLUDED,21,6,0.933,432.93,356.22,3.19,0.78
57,1,box,VISIBLE,57,0,0.8239,602.26,343.57,-3.39,-0.0
57,2,ball,OCCLUDED,21,7,0.922,436.12,357.0,3.19,0.78
58,1,box,VISIBLE,58,0,0.845,598.8,343.55,-3.44,-0.01
58,2,ball,OCCLUDED,21,8,0.911,439.32,357.78,3.19,0.78
59,1,box,VISIBLE,59,0,0.838,595.83,343.43,-3.11,-0.09
59,2,ball,OCCLUDED,21,9,0.9,442.51,358.56,3.19,0.78
60,1,box,VISIBLE,60,0,0.814,592.42,343.37,-3.32,-0.07
60,2,ball,OCCLUDED,21,10,0.889,445.7,359.34,3.19,0.78
61,1,box,VISIBLE,61,0,0.8031,588.83,343.71,-3.51,0.22
61,2,ball,OCCLUDED,21,11,0.878,448.9,360.12,3.19,0.78
62,1,box,VISIBLE,62,0,0.7693,585.28,343.61,-3.53,-0.01
