frame,track_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,raw_track_id,memory_state,velocity_x,velocity_y
1,1,box,0.9246,425.05,269.73,869.64,538.33,647.35,404.03,444.59,268.6,1,VISIBLE,0.0,0.0
1,2,ball,0.7674,94.48,438.12,188.18,529.71,141.33,483.92,93.7,91.59,2,VISIBLE,0.0,0.0
2,1,box,0.9259,424.96,269.77,869.7,538.45,647.33,404.11,444.74,268.69,1,VISIBLE,-0.01,0.08
2,2,ball,0.7774,100.46,438.29,194.22,529.92,147.34,484.1,93.76,91.63,2,VISIBLE,6.01,0.19
3,1,box,0.9269,425.0,269.83,869.61,538.44,647.31,404.13,444.61,268.61,1,VISIBLE,-0.02,0.04
3,2,ball,0.7513,106.46,438.11,200.31,529.82,153.39,483.96,93.85,91.71,2,VISIBLE,6.03,-0.04
4,1,box,0.9265,425.0,269.75,869.57,538.33,647.29,404.04,444.57,268.58,1,VISIBLE,-0.02,-0.05
4,2,ball,0.7623,113.39,437.93,207.16,529.56,160.27,483.74,93.76,91.63,2,VISIBLE,6.63,-0.17
5,1,box,0.9342,425.08,269.76,869.54,538.27,647.31,404.01,444.45,268.51,1,VISIBLE,0.01,-0.03
5,2,ball,0.7762,120.69,437.42,214.81,529.46,167.75,483.44,94.12,92.04,2,VISIBLE,7.22,-0.26
6,1,box,0.9217,424.9,269.55,869.68,538.26,647.29,403.91,444.77,268.71,1,VISIBLE,-0.01,-0.09
6,2,ball,0.776,128.42,437.4,222.24,529.16,175.33,483.28,93.82,91.76,2,VISIBLE,7.47,-0.19
7,1,box,0.9166,424.86,269.44,869.6,538.14,647.23,403.79,444.75,268.7,1,VISIBLE,-0.05,-0.11
7,2,ball,0.7093,135.39,437.31,228.84,528.74,182.12,483.03,93.45,91.43,2,VISIBLE,6.99,-0.24
8,1,box,0.9161,424.78,269.59,869.66,538.38,647.22,403.98,444.88,268.79,1,VISIBLE,-0.02,0.1
8,2,ball,0.7607,143.26,437.95,236.53,529.26,189.89,483.61,93.27,91.31,2,VISIBLE,7.54,0.34
9,1,box,0.9173,424.82,269.77,869.59,538.49,647.2,404.13,444.77,268.72,1,VISIBLE,-0.02,0.13
9,2,ball,0.7678,150.68,438.43,244.12,529.97,197.4,484.2,93.44,91.54,2,VISIBLE,7.52,0.52
10,1,box,0.9195,424.82,269.83,869.55,538.53,647.18,404.18,444.73,268.7,1,VISIBLE,-0.02,0.07
10,2,ball,0.7731,158.06,438.59,251.55,530.29,204.81,484.44,93.49,91.7,2,VISIBLE,7.44,0.32
11,1,box,0.9143,424.82,269.8,869.48,538.45,647.15,404.13,444.66,268.65,1,VISIBLE,-0.03,-0.02
11,2,ball,0.7816,164.83,438.45,258.13,530.05,211.48,484.25,93.3,91.59,2,VISIBLE,6.9,-0.04
12,1,box,0.9204,424.83,269.8,869.45,538.42,647.14,404.11,444.62,268.62,1,VISIBLE,-0.02,-0.02
12,2,ball,0.7664,171.89,438.44,264.98,529.89,218.43,484.16,93.09,91.45,2,VISIBLE,6.94,-0.07
13,1,box,0.9212,424.86,269.77,869.46,538.38,647.16,404.08,444.61,268.61,1,VISIBLE,0.01,-0.03
13,2,ball,0.7833,179.15,438.32,272.12,529.7,225.64,484.01,92.97,91.39,2,VISIBLE,7.12,-0.13
14,1,box,0.9158,424.89,269.68,869.42,538.23,647.15,403.96,444.53,268.55,1,VISIBLE,-0.0,-0.09
14,2,ball,0.791,186.82,438.32,279.45,529.43,233.14,483.88,92.62,91.11,2,VISIBLE,7.39,-0.13
15,1,box,0.909,424.8,269.51,869.48,538.16,647.14,403.83,444.68,268.64,1,VISIBLE,-0.01,-0.11
15,2,ball,0.7822,193.98,437.95,286.31,528.87,240.15,483.41,92.33,90.92,2,VISIBLE,7.12,-0.37
16,1,box,0.9149,424.78,269.63,869.5,538.29,647.14,403.96,444.71,268.66,1,VISIBLE,-0.0,0.05
16,2,ball,0.7951,201.75,438.53,293.91,529.41,247.83,483.97,92.16,90.88,2,VISIBLE,7.52,0.28
17,1,box,0.9164,424.79,269.77,869.46,538.4,647.13,404.09,444.67,268.63,1,VISIBLE,-0.01,0.1
17,2,ball,0.8135,208.82,439.09,300.97,530.09,254.9,484.59,92.15,91.0,2,VISIBLE,7.2,0.52
18,1,box,0.919,424.73,269.79,869.47,538.47,647.1,404.13,444.75,268.67,1,VISIBLE,-0.02,0.06
18,2,ball,0.8214,215.94,439.41,308.13,530.51,262.03,484.96,92.19,91.1,2,VISIBLE,7.16,0.41
19,1,box,0.913,424.77,269.83,869.42,538.45,647.09,404.14,444.66,268.61,1,VISIBLE,-0.01,0.03
19,2,ball,0.8029,222.72,439.16,314.82,530.26,268.77,484.71,92.1,91.1,2,VISIBLE,6.86,-0.05
20,1,box,0.9099,424.81,269.8,869.39,538.35,647.1,404.08,444.58,268.55,1,VISIBLE,0.0,-0.04
20,2,ball,0.7767,229.66,438.97,321.59,529.99,275.63,484.48,91.94,91.03,2,VISIBLE,6.86,-0.18
21,1,box,0.9088,424.84,269.76,869.35,538.25,647.1,404.01,444.51,268.49,1,VISIBLE,-0.0,-0.06
21,2,ball,0.752,236.85,438.93,328.67,529.93,282.76,484.43,91.82,91.0,2,VISIBLE,7.05,-0.09
22,1,box,0.905,424.91,269.78,869.27,538.15,647.09,403.96,444.36,268.37,1,VISIBLE,-0.0,-0.05
22,2,ball,0.7582,244.24,438.86,335.86,529.71,290.05,484.29,91.62,90.86,2,VISIBLE,7.22,-0.13
23,1,box,0.9049,424.88,269.71,869.27,538.08,647.08,403.9,444.39,268.37,1,VISIBLE,-0.01,-0.06
23,2,ball,0.7396,251.21,438.62,342.57,529.35,296.89,483.99,91.36,90.73,2,VISIBLE,6.95,-0.25
24,1,box,0.9059,424.7,269.65,869.46,538.25,647.08,403.95,444.75,268.6,1,VISIBLE,-0.0,0.02
24,2,ball,0.7487,258.84,439.0,350.07,529.68,304.45,484.34,91.22,90.67,2,VISIBLE,7.38,0.17
25,1,box,0.9127,424.64,269.67,869.55,538.38,647.09,404.03,444.91,268.71,1,VISIBLE,0.01,0.06
25,2,ball,0.7501,266.3,439.4,357.5,530.21,311.9,484.8,91.2,90.81,2,VISIBLE,7.43,0.38
26,1,box,0.9135,424.64,269.74,869.54,538.46,647.09,404.1,444.9,268.72,1,VISIBLE,-0.0,0.07
26,2,ball,0.7224,273.63,439.65,364.83,530.56,319.23,485.1,91.2,90.91,2,VISIBLE,7.36,0.32
27,1,box,0.9122,424.67,269.73,869.48,538.39,647.07,404.06,444.81,268.66,1,VISIBLE,-0.01,-0.01
