frame,master_track_id,class_name,state,frames_visible,frames_occluded,confidence_decay,centroid_x,centroid_y,velocity_x,velocity_y
1,1,box,VISIBLE,1,0,0.9246,647.35,404.03,0.0,0.0
1,2,ball,VISIBLE,1,0,0.7674,141.33,483.92,0.0,0.0
2,1,box,VISIBLE,2,0,0.9259,647.33,404.11,-0.01,0.08
2,2,ball,VISIBLE,2,0,0.7774,147.34,484.11,6.01,0.19
3,1,box,VISIBLE,3,0,0.9269,647.31,404.13,-0.02,0.04
3,2,ball,VISIBLE,3,0,0.7513,153.38,483.97,6.03,-0.04
4,1,box,VISIBLE,4,0,0.9265,647.29,404.04,-0.02,-0.05
4,2,ball,VISIBLE,4,0,0.7623,160.28,483.75,6.63,-0.17
5,1,box,VISIBLE,5,0,0.9342,647.31,404.01,0.01,-0.03
5,2,ball,VISIBLE,5,0,0.7762,167.75,483.44,7.22,-0.26
6,1,box,VISIBLE,6,0,0.9217,647.29,403.9,-0.01,-0.09
6,2,ball,VISIBLE,6,0,0.776,175.33,483.28,7.47,-0.19
7,1,box,VISIBLE,7,0,0.9166,647.23,403.79,-0.05,-0.11
7,2,ball,VISIBLE,7,0,0.7093,182.12,483.02,6.99,-0.24
8,1,box,VISIBLE,8,0,0.9161,647.22,403.99,-0.02,0.1
8,2,ball,VISIBLE,8,0,0.7607,189.89,483.61,7.54,0.34
9,1,box,VISIBLE,9,0,0.9173,647.21,404.13,-0.02,0.13
9,2,ball,VISIBLE,9,0,0.7678,197.4,484.2,7.52,0.52
10,1,box,VISIBLE,10,0,0.9195,647.18,404.18,-0.02,0.07
10,2,ball,VISIBLE,10,0,0.7731,204.81,484.44,7.44,0.32
11,1,box,VISIBLE,11,0,0.9143,647.15,404.12,-0.03,-0.02
11,2,ball,VISIBLE,11,0,0.7816,211.48,484.25,6.9,-0.04
12,1,box,VISIBLE,12,0,0.9204,647.14,404.11,-0.02,-0.02
12,2,ball,VISIBLE,12,0,0.7664,218.44,484.16,6.94,-0.07
13,1,box,VISIBLE,13,0,0.9212,647.16,404.07,0.01,-0.03
13,2,ball,VISIBLE,13,0,0.7833,225.63,484.01,7.12,-0.13
14,1,box,VISIBLE,14,0,0.9158,647.15,403.96,-0.0,-0.09
14,2,ball,VISIBLE,14,0,0.791,233.13,483.88,7.39,-0.13
15,1,box,VISIBLE,15,0,0.909,647.14,403.83,-0.01,-0.11
15,2,ball,VISIBLE,15,0,0.7822,240.14,483.41,7.12,-0.37
16,1,box,VISIBLE,16,0,0.9149,647.14,403.96,-0.0,0.05
16,2,ball,VISIBLE,16,0,0.7951,247.83,483.97,7.52,0.28
17,1,box,VISIBLE,17,0,0.9164,647.12,404.08,-0.01,0.1
17,2,ball,VISIBLE,17,0,0.8135,254.9,484.59,7.2,0.52
18,1,box,VISIBLE,18,0,0.919,647.1,404.13,-0.02,0.06
18,2,ball,VISIBLE,18,0,0.8214,262.03,484.96,7.16,0.41
19,1,box,VISIBLE,19,0,0.913,647.1,404.14,-0.01,0.03
19,2,ball,VISIBLE,19,0,0.8029,268.77,484.71,6.86,-0.05
20,1,box,VISIBLE,20,0,0.9099,647.1,404.08,0.0,-0.04
20,2,ball,VISIBLE,20,0,0.7767,275.62,484.48,6.86,-0.18
21,1,box,VISIBLE,21,0,0.9088,647.1,404.0,-0.0,-0.06
21,2,ball,VISIBLE,21,0,0.752,282.76,484.43,7.05,-0.09
22,1,box,VISIBLE,22,0,0.905,647.09,403.96,-0.0,-0.05
22,2,ball,VISIBLE,22,0,0.7582,290.05,484.29,7.22,-0.13
23,1,box,VISIBLE,23,0,0.9049,647.08,403.89,-0.01,-0.06
23,2,ball,VISIBLE,23,0,0.7396,296.89,483.99,6.95,-0.25
24,1,box,VISIBLE,24,0,0.9059,647.08,403.95,-0.0,0.02
24,2,ball,VISIBLE,24,0,0.7487,304.45,484.34,7.38,0.17
25,1,box,VISIBLE,25,0,0.9127,647.1,404.02,0.01,0.06
25,2,ball,VISIBLE,25,0,0.7501,311.9,484.81,7.43,0.38
26,1,box,VISIBLE,26,0,0.9135,647.09,404.1,-0.0,0.07
26,2,ball,VISIBLE,26,0,0.7224,319.23,485.1,7.36,0.32
27,1,box,VISIBLE,27,0,0.9122,647.08,404.06,-0.01,-0.01
27,2,ball,VISIBLE,27,0,0.7249,326.16,484.97,7.06,0.0
28,1,box,VISIBLE,28,0,0.9116,647.07,404.02,-0.01,-0.03
28,2,ball,VISIBLE,28,0,0.726,333.4,484.88,7.19,-0.06
29,1,box,VISIBLE,29,0,0.9133,647.08,403.97,0.01,-0.05
29,2,ball,VISIBLE,29,0,0.6962,340.56,484.63,7.17,-0.19
30,1,box,VISIBLE,30,0,0.9112,647.1,403.88,0.02,-0.07
