epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7378,1.96117,5.09727,2.38556,0.00376,0.24138,0.00113,0.00028,2.47011,166.6,2.5746,0.000641975,0.000641975,0.000641975
2,27.131,2.36038,8.20407,2.4648,0,0,0,0,nan,nan,nan,0.00125682,0.00125682,0.00125682
3,39.3177,2.57669,4.00096,2.74187,0,0,0,0,nan,nan,nan,0.00181886,0.00181886,0.00181886
4,51.7679,2.55166,3.58009,2.72911,0,0,0,0,nan,nan,nan,0.0017624,0.0017624,0.0017624
5,63.8868,2.60711,3.29868,2.79396,0,0,0,0,nan,nan,nan,0.0016832,0.0016832,0.0016832
6,76.1214,2.34964,3.2757,2.66266,0,0,0,0,nan,nan,nan,0.001604,0.001604,0.001604
7,88.4968,2.22212,3.06684,2.61523,0,0,0,0,3.97052,118129,75.2892,0.0015248,0.0015248,0.0015248
8,100.903,2.16222,2.83249,2.56798,0.04634,0.10345,0.01481,0.0045,2.8514,55.3998,10.3163,0.0014456,0.0014456,0.0014456
9,113.287,2.01888,2.76369,2.43661,0.98834,0.13793,0.1641,0.07204,2.14176,6.65389,4.57826,0.0013664,0.0013664,0.0013664
10,125.663,2.06423,2.59253,2.44878,0.34726,0.25862,0.23415,0.11057,2.03592,3.77686,3.06708,0.0012872,0.0012872,0.0012872
11,138.188,2.03902,2.43474,2.4052,0.73086,0.25862,0.29609,0.12184,2.05556,6.0723,2.83742,0.001208,0.001208,0.001208
12,150.585,1.87454,2.2547,2.287,0.58258,0.32759,0.42548,0.17667,1.79034,3.74321,2.33813,0.0011288,0.0011288,0.0011288
13,162.793,1.93362,2.31622,2.38109,0.46655,0.43103,0.47789,0.21632,1.72895,2.34008,2.16045,0.0010496,0.0010496,0.0010496
14,175.04,1.83303,2.17117,2.23624,0.40647,0.50773,0.37108,0.16568,1.69198,3.08574,2.28338,0.0009704,0.0009704,0.0009704
15,187.167,1.83118,2.07242,2.17505,0.52625,0.48276,0.48691,0.20775,1.70258,3.44292,2.09004,0.0008912,0.0008912,0.0008912
16,203.356,1.59944,1.96308,1.9803,0.57181,0.43103,0.51537,0.25654,1.68097,2.33282,1.9957,0.000812,0.000812,0.000812
17,215.679,1.61321,1.8326,2.02706,0.68636,0.49138,0.60438,0.34952,1.57702,1.7708,1.95947,0.0007328,0.0007328,0.0007328
18,228.007,1.52869,1.75305,1.94003,0.58351,0.56034,0.62673,0.36785,1.52476,1.66644,1.88883,0.0006536,0.0006536,0.0006536
19,240.311,1.57262,1.73208,1.92657,0.60208,0.58621,0.62706,0.34929,1.54531,1.59597,1.89665,0.0005744,0.0005744,0.0005744
20,252.558,1.50649,1.66487,1.92479,0.57854,0.5562,0.60759,0.30002,1.64631,1.65236,1.93211,0.0004952,0.0004952,0.0004952
21,264.766,1.54877,1.70123,1.9242,0.64445,0.50862,0.56285,0.26332,1.65135,1.82653,1.89535,0.000416,0.000416,0.000416
22,276.9,1.52894,1.65215,1.88603,0.70827,0.54417,0.62172,0.29812,1.62034,1.68633,1.89266,0.0003368,0.0003368,0.0003368
23,289.066,1.47825,1.59555,1.85832,0.70161,0.60813,0.6713,0.34476,1.58348,1.58152,1.89434,0.0002576,0.0002576,0.0002576
24,301.352,1.4983,1.61678,1.87099,0.61875,0.62931,0.66315,0.36117,1.52725,1.61403,1.83523,0.0001784,0.0001784,0.0001784
25,313.631,1.48121,1.60545,1.82978,0.64859,0.62053,0.66441,0.37217,1.48553,1.59005,1.79763,9.92e-05,9.92e-05,9.92e-05
